"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PUB","PC_GDP","A","1991",14.28,
"AUS","SOCEXP","PUB","PC_GDP","A","1992",15.257,
"AUS","SOCEXP","PUB","PC_GDP","A","1993",15.516,
"AUS","SOCEXP","PUB","PC_GDP","A","1994",15.242,
"AUS","SOCEXP","PUB","PC_GDP","A","1995",16.88,
"AUS","SOCEXP","PUB","PC_GDP","A","1996",16.998,
"AUS","SOCEXP","PUB","PC_GDP","A","1997",16.765,
"AUS","SOCEXP","PUB","PC_GDP","A","1998",17.588,
"AUS","SOCEXP","PUB","PC_GDP","A","1999",17.225,
"AUS","SOCEXP","PUB","PC_GDP","A","2000",18.21,
"AUS","SOCEXP","PUB","PC_GDP","A","2001",17.509,
"AUS","SOCEXP","PUB","PC_GDP","A","2002",17.314,
"AUS","SOCEXP","PUB","PC_GDP","A","2003",17.498,
"AUS","SOCEXP","PUB","PC_GDP","A","2004",17.197,
"AUS","SOCEXP","PUB","PC_GDP","A","2005",16.66,
"AUS","SOCEXP","PUB","PC_GDP","A","2006",15.699,
"AUS","SOCEXP","PUB","PC_GDP","A","2007",15.858,
"AUS","SOCEXP","PUB","PC_GDP","A","2008",17.05,
"AUS","SOCEXP","PUB","PC_GDP","A","2009",16.853,
"AUS","SOCEXP","PUB","PC_GDP","A","2010",16.553,
"AUS","SOCEXP","PUB","PC_GDP","A","2011",17.02,
"AUS","SOCEXP","PUB","PC_GDP","A","2012",17.308,
"AUS","SOCEXP","PUB","PC_GDP","A","2013",17.263,
"AUS","SOCEXP","PUB","PC_GDP","A","2014",17.804,
"AUS","SOCEXP","PUB","PC_GDP","A","2015",18.207,
"AUS","SOCEXP","PUB","PC_GDP","A","2016",17.476,
"AUS","SOCEXP","PUB","PC_GDP","A","2017",17.077,
"AUS","SOCEXP","PUB","PC_GDP","A","2018",16.638,
"AUS","SOCEXP","PUB","PC_GDP","A","2019",20.451,
"AUS","SOCEXP","PUBNET","PC_GDP","A","1995",15.966,
"AUS","SOCEXP","PUBNET","PC_GDP","A","1997",15.905,
"AUS","SOCEXP","PUBNET","PC_GDP","A","1999",16.479,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2001",16.92,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2003",16.851,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2005",16.255,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2007",15.607,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2009",16.618,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2011",16.821,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2013",17.032,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2015",18.069,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2017",16.987,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2019",20.351,
"AUS","SOCEXP","TOTNET","PC_GDP","A","1995",19.037,
"AUS","SOCEXP","TOTNET","PC_GDP","A","1997",19.494,
"AUS","SOCEXP","TOTNET","PC_GDP","A","1999",20.215,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2001",20.447,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2003",19.892,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2005",18.7,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2007",20.118,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2009",20.373,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2011",20.873,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2013",21.851,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2015",23.574,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2017",22.376,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2019",24.89,
"AUS","SOCEXP","PUB","USD_CAP","A","1980",2621.797,
"AUS","SOCEXP","PUB","USD_CAP","A","1981",2654.426,
"AUS","SOCEXP","PUB","USD_CAP","A","1982",2796.314,
"AUS","SOCEXP","PUB","USD_CAP","A","1983",3015.619,
"AUS","SOCEXP","PUB","USD_CAP","A","1984",3238.639,
"AUS","SOCEXP","PUB","USD_CAP","A","1985",3350.088,
"AUS","SOCEXP","PUB","USD_CAP","A","1986",3339.668,
"AUS","SOCEXP","PUB","USD_CAP","A","1987",3552.515,
"AUS","SOCEXP","PUB","USD_CAP","A","1988",3419.375,
"AUS","SOCEXP","PUB","USD_CAP","A","1989",3524.021,
"AUS","SOCEXP","PUB","USD_CAP","A","1990",3916.461,
"AUS","SOCEXP","PUB","USD_CAP","A","1991",4226.956,
"AUS","SOCEXP","PUB","USD_CAP","A","1992",4645.938,
"AUS","SOCEXP","PUB","USD_CAP","A","1993",4869.521,
"AUS","SOCEXP","PUB","USD_CAP","A","1994",4919.214,
"AUS","SOCEXP","PUB","USD_CAP","A","1995",5595.206,
"AUS","SOCEXP","PUB","USD_CAP","A","1996",5783.856,
"AUS","SOCEXP","PUB","USD_CAP","A","1997",5903.517,
"AUS","SOCEXP","PUB","USD_CAP","A","1998",6434.579,
"AUS","SOCEXP","PUB","USD_CAP","A","1999",6477.078,
"AUS","SOCEXP","PUB","USD_CAP","A","2000",6907.679,
"AUS","SOCEXP","PUB","USD_CAP","A","2001",6820.051,
"AUS","SOCEXP","PUB","USD_CAP","A","2002",6875.422,
"AUS","SOCEXP","PUB","USD_CAP","A","2003",7158.05,
"AUS","SOCEXP","PUB","USD_CAP","A","2004",7179.741,
"AUS","SOCEXP","PUB","USD_CAP","A","2005",7058.958,
"AUS","SOCEXP","PUB","USD_CAP","A","2006",6809.673,
"AUS","SOCEXP","PUB","USD_CAP","A","2007",6996.108,
"AUS","SOCEXP","PUB","USD_CAP","A","2008",7510.388,
"AUS","SOCEXP","PUB","USD_CAP","A","2009",7429.86,
"AUS","SOCEXP","PUB","USD_CAP","A","2010",7362.589,
"AUS","SOCEXP","PUB","USD_CAP","A","2011",7758.159,
"AUS","SOCEXP","PUB","USD_CAP","A","2012",7954.757,
"AUS","SOCEXP","PUB","USD_CAP","A","2013",7998.583,
"AUS","SOCEXP","PUB","USD_CAP","A","2014",8303.351,
"AUS","SOCEXP","PUB","USD_CAP","A","2015",8599.43,
"AUS","SOCEXP","PUB","USD_CAP","A","2016",8313.147,
"AUS","SOCEXP","PUB","USD_CAP","A","2017",8216.847,
"AUS","SOCEXP","PUB","USD_CAP","A","2018",8050.393,
"AUS","SOCEXP","PUB","USD_CAP","A","2019",9745.238,
"AUT","SOCEXP","PRIV","PC_GDP","A","1980",2.488,
"AUT","SOCEXP","PRIV","PC_GDP","A","1981",0.589,
"AUT","SOCEXP","PRIV","PC_GDP","A","1982",0.609,
"AUT","SOCEXP","PRIV","PC_GDP","A","1983",0.611,
"AUT","SOCEXP","PRIV","PC_GDP","A","1984",0.624,
"AUT","SOCEXP","PRIV","PC_GDP","A","1985",2.264,
"AUT","SOCEXP","PRIV","PC_GDP","A","1986",0.618,
"AUT","SOCEXP","PRIV","PC_GDP","A","1987",0.618,
"AUT","SOCEXP","PRIV","PC_GDP","A","1988",0.618,
"AUT","SOCEXP","PRIV","PC_GDP","A","1989",0.624,
"AUT","SOCEXP","PRIV","PC_GDP","A","1990",2.188,
"AUT","SOCEXP","PRIV","PC_GDP","A","1991",2.179,
"AUT","SOCEXP","PRIV","PC_GDP","A","1992",2.189,
"AUT","SOCEXP","PRIV","PC_GDP","A","1993",2.174,
"AUT","SOCEXP","PRIV","PC_GDP","A","1994",2.114,
"AUT","SOCEXP","PRIV","PC_GDP","A","1995",2.056,
"AUT","SOCEXP","PRIV","PC_GDP","A","1996",1.988,
"AUT","SOCEXP","PRIV","PC_GDP","A","1997",1.951,
"AUT","SOCEXP","PRIV","PC_GDP","A","1998",1.915,
"AUT","SOCEXP","PRIV","PC_GDP","A","1999",2.016,
"AUT","SOCEXP","PRIV","PC_GDP","A","2000",2.103,
"AUT","SOCEXP","PRIV","PC_GDP","A","2001",2.031,
"AUT","SOCEXP","PRIV","PC_GDP","A","2002",1.991,
"AUT","SOCEXP","PRIV","PC_GDP","A","2003",1.996,
"AUT","SOCEXP","PRIV","PC_GDP","A","2004",1.992,
"AUT","SOCEXP","PRIV","PC_GDP","A","2005",1.979,
"AUT","SOCEXP","PRIV","PC_GDP","A","2006",1.976,
"AUT","SOCEXP","PRIV","PC_GDP","A","2007",2.043,
"AUT","SOCEXP","PRIV","PC_GDP","A","2008",2.122,
"AUT","SOCEXP","PRIV","PC_GDP","A","2009",2.21,
"AUT","SOCEXP","PRIV","PC_GDP","A","2010",2.167,
"AUT","SOCEXP","PRIV","PC_GDP","A","2011",2.16,
"AUT","SOCEXP","PRIV","PC_GDP","A","2012",2.157,
"AUT","SOCEXP","PRIV","PC_GDP","A","2013",2.211,
"AUT","SOCEXP","PRIV","PC_GDP","A","2014",2.193,
"AUT","SOCEXP","PRIV","PC_GDP","A","2015",2.227,
"AUT","SOCEXP","PRIV","PC_GDP","A","2016",2.191,
"AUT","SOCEXP","PRIV","PC_GDP","A","2017",2.193,
"AUT","SOCEXP","PRIV","PC_GDP","A","2018",2.257,
"AUT","SOCEXP","PRIV","PC_GDP","A","2019",2.324,
"AUT","SOCEXP","PUB","PC_GDP","A","1980",21.906,
"AUT","SOCEXP","PUB","PC_GDP","A","1985",23.205,
"AUT","SOCEXP","PUB","PC_GDP","A","1990",23.263,
"AUT","SOCEXP","PUB","PC_GDP","A","1991",23.584,
"AUT","SOCEXP","PUB","PC_GDP","A","1992",24.276,
"AUT","SOCEXP","PUB","PC_GDP","A","1993",25.675,
"AUT","SOCEXP","PUB","PC_GDP","A","1994",26.614,
"AUT","SOCEXP","PUB","PC_GDP","A","1995",26.556,
"AUT","SOCEXP","PUB","PC_GDP","A","1996",26.678,
"AUT","SOCEXP","PUB","PC_GDP","A","1997",26.18,
"AUT","SOCEXP","PUB","PC_GDP","A","1998",25.98,
"AUT","SOCEXP","PUB","PC_GDP","A","1999",26.329,
"AUT","SOCEXP","PUB","PC_GDP","A","2000",26.043,
"AUT","SOCEXP","PUB","PC_GDP","A","2001",26.092,
"AUT","SOCEXP","PUB","PC_GDP","A","2002",26.396,
"AUT","SOCEXP","PUB","PC_GDP","A","2003",26.933,
"AUT","SOCEXP","PUB","PC_GDP","A","2004",26.719,
"AUT","SOCEXP","PUB","PC_GDP","A","2005",26.337,
"AUT","SOCEXP","PUB","PC_GDP","A","2006",26.063,
"AUT","SOCEXP","PUB","PC_GDP","A","2007",25.477,
"AUT","SOCEXP","PUB","PC_GDP","A","2008",25.947,
"AUT","SOCEXP","PUB","PC_GDP","A","2009",27.957,
"AUT","SOCEXP","PUB","PC_GDP","A","2010",28.052,
"AUT","SOCEXP","PUB","PC_GDP","A","2011",27.231,
"AUT","SOCEXP","PUB","PC_GDP","A","2012",27.611,
"AUT","SOCEXP","PUB","PC_GDP","A","2013",28.031,
"AUT","SOCEXP","PUB","PC_GDP","A","2014",28.255,
"AUT","SOCEXP","PUB","PC_GDP","A","2015",28.261,
"AUT","SOCEXP","PUB","PC_GDP","A","2016",28.197,
"AUT","SOCEXP","PUB","PC_GDP","A","2017",27.826,
"AUT","SOCEXP","PUB","PC_GDP","A","2018",27.561,
"AUT","SOCEXP","PUB","PC_GDP","A","2019",27.708,
"AUT","SOCEXP","PUB","PC_GDP","A","2020",31.108,
"AUT","SOCEXP","PUB","PC_GDP","A","2021",31.061,
"AUT","SOCEXP","PUB","PC_GDP","A","2022",29.356,
"AUT","SOCEXP","PUBNET","PC_GDP","A","1995",21.767,
"AUT","SOCEXP","PUBNET","PC_GDP","A","1997",21.17,
"AUT","SOCEXP","PUBNET","PC_GDP","A","1999",21.29,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2001",20.932,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2003",21.752,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2005",21.458,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2007",20.941,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2009",23.164,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2011",22.541,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2013",22.968,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2015",23.09,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2017",23.085,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2019",22.941,
"AUT","SOCEXP","TOTNET","PC_GDP","A","1995",23.272,
"AUT","SOCEXP","TOTNET","PC_GDP","A","1997",22.582,
"AUT","SOCEXP","TOTNET","PC_GDP","A","1999",22.713,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2001",22.418,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2003",23.249,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2005",22.945,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2007",22.483,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2009",24.892,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2011",24.13,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2013",24.688,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2015",24.82,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2017",24.805,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2019",24.754,
"AUT","SOCEXP","PUB","USD_CAP","A","1980",6307.738,
"AUT","SOCEXP","PUB","USD_CAP","A","1985",7172.77,
"AUT","SOCEXP","PUB","USD_CAP","A","1990",8226.029,
"AUT","SOCEXP","PUB","USD_CAP","A","1991",8540.996,
"AUT","SOCEXP","PUB","USD_CAP","A","1992",8877.229,
"AUT","SOCEXP","PUB","USD_CAP","A","1993",9361.029,
"AUT","SOCEXP","PUB","USD_CAP","A","1994",9898.204,
"AUT","SOCEXP","PUB","USD_CAP","A","1995",10124.594,
"AUT","SOCEXP","PUB","USD_CAP","A","1996",10396.092,
"AUT","SOCEXP","PUB","USD_CAP","A","1997",10403.673,
"AUT","SOCEXP","PUB","USD_CAP","A","1998",10682.404,
"AUT","SOCEXP","PUB","USD_CAP","A","1999",11188.886,
"AUT","SOCEXP","PUB","USD_CAP","A","2000",11413.529,
"AUT","SOCEXP","PUB","USD_CAP","A","2001",11535.809,
"AUT","SOCEXP","PUB","USD_CAP","A","2002",11804.308,
"AUT","SOCEXP","PUB","USD_CAP","A","2003",12103.905,
"AUT","SOCEXP","PUB","USD_CAP","A","2004",12258.895,
"AUT","SOCEXP","PUB","USD_CAP","A","2005",12270.984,
"AUT","SOCEXP","PUB","USD_CAP","A","2006",12497.606,
"AUT","SOCEXP","PUB","USD_CAP","A","2007",12630.658,
"AUT","SOCEXP","PUB","USD_CAP","A","2008",13010.114,
"AUT","SOCEXP","PUB","USD_CAP","A","2009",13457.806,
"AUT","SOCEXP","PUB","USD_CAP","A","2010",13719.511,
"AUT","SOCEXP","PUB","USD_CAP","A","2011",13662.623,
"AUT","SOCEXP","PUB","USD_CAP","A","2012",13884.807,
"AUT","SOCEXP","PUB","USD_CAP","A","2013",14014.806,
"AUT","SOCEXP","PUB","USD_CAP","A","2014",14109.365,
"AUT","SOCEXP","PUB","USD_CAP","A","2015",14114.07,
"AUT","SOCEXP","PUB","USD_CAP","A","2016",14181.054,
"AUT","SOCEXP","PUB","USD_CAP","A","2017",14220.501,
"AUT","SOCEXP","PUB","USD_CAP","A","2018",14367.988,
"AUT","SOCEXP","PUB","USD_CAP","A","2019",14594.203,
"BEL","SOCEXP","PRIV","PC_GDP","A","1980",0.983,
"BEL","SOCEXP","PRIV","PC_GDP","A","1981",1,
"BEL","SOCEXP","PRIV","PC_GDP","A","1982",0.99,
"BEL","SOCEXP","PRIV","PC_GDP","A","1983",1.004,
"BEL","SOCEXP","PRIV","PC_GDP","A","1984",0.822,
"BEL","SOCEXP","PRIV","PC_GDP","A","1985",0.825,
"BEL","SOCEXP","PRIV","PC_GDP","A","1986",0.869,
"BEL","SOCEXP","PRIV","PC_GDP","A","1987",0.901,
"BEL","SOCEXP","PRIV","PC_GDP","A","1988",0.893,
"BEL","SOCEXP","PRIV","PC_GDP","A","1989",0.856,
"BEL","SOCEXP","PRIV","PC_GDP","A","1990",1.563,
"BEL","SOCEXP","PRIV","PC_GDP","A","1991",1.546,
"BEL","SOCEXP","PRIV","PC_GDP","A","1992",1.922,
"BEL","SOCEXP","PRIV","PC_GDP","A","1993",2.348,
"BEL","SOCEXP","PRIV","PC_GDP","A","1994",2.27,
"BEL","SOCEXP","PRIV","PC_GDP","A","1995",2.083,
"BEL","SOCEXP","PRIV","PC_GDP","A","1996",2.014,
"BEL","SOCEXP","PRIV","PC_GDP","A","1997",1.935,
"BEL","SOCEXP","PRIV","PC_GDP","A","1998",1.88,
"BEL","SOCEXP","PRIV","PC_GDP","A","1999",1.845,
"BEL","SOCEXP","PRIV","PC_GDP","A","2000",1.686,
"BEL","SOCEXP","PRIV","PC_GDP","A","2001",1.899,
"BEL","SOCEXP","PRIV","PC_GDP","A","2002",2.013,
"BEL","SOCEXP","PRIV","PC_GDP","A","2003",2.487,
"BEL","SOCEXP","PRIV","PC_GDP","A","2004",2.477,
"BEL","SOCEXP","PRIV","PC_GDP","A","2005",2.406,
"BEL","SOCEXP","PRIV","PC_GDP","A","2006",2.39,
"BEL","SOCEXP","PRIV","PC_GDP","A","2007",2.136,
"BEL","SOCEXP","PRIV","PC_GDP","A","2008",2.079,
"BEL","SOCEXP","PRIV","PC_GDP","A","2009",2.221,
"BEL","SOCEXP","PRIV","PC_GDP","A","2010",1.933,
"BEL","SOCEXP","PRIV","PC_GDP","A","2011",2.027,
"BEL","SOCEXP","PRIV","PC_GDP","A","2012",2.016,
"BEL","SOCEXP","PRIV","PC_GDP","A","2013",1.858,
"BEL","SOCEXP","PRIV","PC_GDP","A","2014",1.793,
"BEL","SOCEXP","PRIV","PC_GDP","A","2015",1.886,
"BEL","SOCEXP","PRIV","PC_GDP","A","2016",1.907,
"BEL","SOCEXP","PRIV","PC_GDP","A","2017",1.873,
"BEL","SOCEXP","PRIV","PC_GDP","A","2018",1.925,
"BEL","SOCEXP","PRIV","PC_GDP","A","2019",1.806,
"BEL","SOCEXP","PUB","PC_GDP","A","1980",23.202,
"BEL","SOCEXP","PUB","PC_GDP","A","1981",24.752,
"BEL","SOCEXP","PUB","PC_GDP","A","1982",25.35,
"BEL","SOCEXP","PUB","PC_GDP","A","1983",25.634,
"BEL","SOCEXP","PUB","PC_GDP","A","1984",24.852,
"BEL","SOCEXP","PUB","PC_GDP","A","1985",25.689,
"BEL","SOCEXP","PUB","PC_GDP","A","1986",25.518,
"BEL","SOCEXP","PUB","PC_GDP","A","1987",25.289,
"BEL","SOCEXP","PUB","PC_GDP","A","1988",25.107,
"BEL","SOCEXP","PUB","PC_GDP","A","1989",24.262,
"BEL","SOCEXP","PUB","PC_GDP","A","1990",24.57,
"BEL","SOCEXP","PUB","PC_GDP","A","1991",25.335,
"BEL","SOCEXP","PUB","PC_GDP","A","1992",24.346,
"BEL","SOCEXP","PUB","PC_GDP","A","1993",25.4,
"BEL","SOCEXP","PUB","PC_GDP","A","1994",24.801,
"BEL","SOCEXP","PUB","PC_GDP","A","1995",25.304,
"BEL","SOCEXP","PUB","PC_GDP","A","1996",25.935,
"BEL","SOCEXP","PUB","PC_GDP","A","1997",24.929,
"BEL","SOCEXP","PUB","PC_GDP","A","1998",24.929,
"BEL","SOCEXP","PUB","PC_GDP","A","1999",24.73,
"BEL","SOCEXP","PUB","PC_GDP","A","2000",23.655,
"BEL","SOCEXP","PUB","PC_GDP","A","2001",24.123,
"BEL","SOCEXP","PUB","PC_GDP","A","2002",24.504,
"BEL","SOCEXP","PUB","PC_GDP","A","2003",25.061,
"BEL","SOCEXP","PUB","PC_GDP","A","2004",24.826,
"BEL","SOCEXP","PUB","PC_GDP","A","2005",24.685,
"BEL","SOCEXP","PUB","PC_GDP","A","2006",24.595,
"BEL","SOCEXP","PUB","PC_GDP","A","2007",24.339,
"BEL","SOCEXP","PUB","PC_GDP","A","2008",25.745,
"BEL","SOCEXP","PUB","PC_GDP","A","2009",27.979,
"BEL","SOCEXP","PUB","PC_GDP","A","2010",27.666,
"BEL","SOCEXP","PUB","PC_GDP","A","2011",28.101,
"BEL","SOCEXP","PUB","PC_GDP","A","2012",27.962,
"BEL","SOCEXP","PUB","PC_GDP","A","2013",28.34,
"BEL","SOCEXP","PUB","PC_GDP","A","2014",28.394,
"BEL","SOCEXP","PUB","PC_GDP","A","2015",29.055,
"BEL","SOCEXP","PUB","PC_GDP","A","2016",28.426,
"BEL","SOCEXP","PUB","PC_GDP","A","2017",28.275,
"BEL","SOCEXP","PUB","PC_GDP","A","2018",28.355,
"BEL","SOCEXP","PUB","PC_GDP","A","2019",28.218,
"BEL","SOCEXP","PUB","PC_GDP","A","2020",32.28,
"BEL","SOCEXP","PUB","PC_GDP","A","2021",29.705,
"BEL","SOCEXP","PUB","PC_GDP","A","2022",28.965,
"BEL","SOCEXP","PUBNET","PC_GDP","A","1993",22.026,
"BEL","SOCEXP","PUBNET","PC_GDP","A","1995",21.908,
"BEL","SOCEXP","PUBNET","PC_GDP","A","1997",21.39,
"BEL","SOCEXP","PUBNET","PC_GDP","A","1999",21.281,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2001",20.463,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2003",21.235,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2005",20.813,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2007",20.672,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2009",23.874,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2011",23.924,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2013",24.123,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2015",24.649,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2017",23.964,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2019",24.129,
"BEL","SOCEXP","TOTNET","PC_GDP","A","1993",23.88,
"BEL","SOCEXP","TOTNET","PC_GDP","A","1995",23.533,
"BEL","SOCEXP","TOTNET","PC_GDP","A","1997",22.878,
"BEL","SOCEXP","TOTNET","PC_GDP","A","1999",22.683,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2001",21.88,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2003",23.213,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2005",22.719,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2007",22.391,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2009",25.648,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2011",25.555,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2013",25.627,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2015",26.176,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2017",25.479,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2019",25.614,
"BEL","SOCEXP","PUB","USD_CAP","A","1980",6392.778,
"BEL","SOCEXP","PUB","USD_CAP","A","1981",6796.02,
"BEL","SOCEXP","PUB","USD_CAP","A","1982",6995.745,
"BEL","SOCEXP","PUB","USD_CAP","A","1983",7092.782,
"BEL","SOCEXP","PUB","USD_CAP","A","1984",7045.119,
"BEL","SOCEXP","PUB","USD_CAP","A","1985",7401.203,
"BEL","SOCEXP","PUB","USD_CAP","A","1986",7484.434,
"BEL","SOCEXP","PUB","USD_CAP","A","1987",7579.85,
"BEL","SOCEXP","PUB","USD_CAP","A","1988",7853.9,
"BEL","SOCEXP","PUB","USD_CAP","A","1989",7824.274,
"BEL","SOCEXP","PUB","USD_CAP","A","1990",8149.438,
"BEL","SOCEXP","PUB","USD_CAP","A","1991",8524.689,
"BEL","SOCEXP","PUB","USD_CAP","A","1992",8283.288,
"BEL","SOCEXP","PUB","USD_CAP","A","1993",8525.688,
"BEL","SOCEXP","PUB","USD_CAP","A","1994",8567.778,
"BEL","SOCEXP","PUB","USD_CAP","A","1995",8931.463,
"BEL","SOCEXP","PUB","USD_CAP","A","1996",9256.945,
"BEL","SOCEXP","PUB","USD_CAP","A","1997",9213.582,
"BEL","SOCEXP","PUB","USD_CAP","A","1998",9373.897,
"BEL","SOCEXP","PUB","USD_CAP","A","1999",9607.087,
